Race_ID,Odds,BSP,Distance_All,Finish_All,Races_All,Odds_Recent,Odds_380,Time_380,Dist_By,y_real,y_pred,y_prob,Position,Finished
524,4.5,5.67,381.49,3.32,67,5.43,5.43,24.34,-5.75,1,0,0.1438531436298413,4,1
745,6.0,8.4,384.71,3.92,136,8.29,8.29,24.58,-5.86,0,0,0.14385993825424237,4,4
1301,5.0,6.6,371.17,3.58,24,6.29,6.29,24.58,-4.96,0,0,0.1438820693927253,4,5
1878,6.0,7.94,410.65,4.21,138,5.07,5.07,24.51,-4.0,0,0,0.14389070664874423,4,4
573,5.0,5.31,373.14,3.81,35,4.5,4.14,24.27,-2.18,0,0,0.1439022969632196,4,5
1448,9.0,12.64,380.0,3.86,4,3.5,3.5,25.19,-11.0,0,0,0.14402867651902,4,5
226,4.0,5.44,390.64,3.29,33,5.36,5.36,24.28,-2.68,0,0,0.14403156896256253,4,6
963,6.0,7.8,380.0,3.21,18,4.86,4.86,24.31,-3.5,1,0,0.1440624575143463,4,1
1190,8.0,10.5,389.1,3.22,134,7.0,7.0,24.18,-3.39,1,0,0.1441097034018734,4,1
1977,6.0,8.0,380.89,3.09,19,4.46,4.46,24.02,-1.29,1,0,0.1441744294187705,4,1
406,4.5,6.8,437.48,3.63,103,5.5,5.71,21.19,-12.14,0,0,0.14428907881326247,4,4
942,5.0,6.94,390.88,3.71,222,7.42,7.07,24.45,-3.29,0,0,0.14431691431495852,4,3
810,5.5,6.8,380.0,3.1,28,4.18,4.18,24.12,-4.0,1,0,0.14433106334735407,4,1
1155,4.5,6.85,396.3,3.57,122,6.93,6.93,24.49,-4.39,0,0,0.1443890804098031,4,5
157,5.0,5.3,420.0,4.55,8,4.5,4.5,24.6,-5.67,0,0,0.14444135432897368,4,4
725,3.5,6.4,419.55,4.16,29,5.5,4.75,24.16,-2.5,0,0,0.14445225020907734,4,2
422,5.0,6.8,380.0,3.61,7,5.0,5.0,24.6,-5.5,0,0,0.14445406943012734,4,2
1786,5.0,6.8,393.27,3.21,143,5.58,5.36,20.62,-9.36,0,0,0.14445937384146781,4,3
508,7.0,6.8,380.0,3.62,178,5.86,5.86,24.56,-7.14,0,0,0.14446379685955466,4,4
591,5.5,5.4,378.82,3.43,90,5.33,5.86,24.63,-5.18,0,0,0.14449448516861205,4,2
569,4.5,6.6,405.32,3.43,59,5.42,6.21,24.45,-5.43,0,0,0.14472934421471384,4,4
352,4.0,4.83,380.0,5.5,8,5.12,5.12,18.11,-16.5,0,0,0.1447403753624395,4,6
1666,8.0,12.87,403.19,3.53,216,5.29,6.07,20.61,-8.89,0,0,0.14478565884255198,4,6
1813,5.5,5.89,402.5,3.93,12,4.93,4.93,24.48,-4.5,0,0,0.14481568335541836,4,2
